time,class,confidence,bbox
2025-08-24 01:11:35,person,0.288232684135437,"[361.49725341796875, 161.74893188476562, 382.02398681640625, 215.74151611328125]"
2025-08-24 01:11:35,person,0.7861782908439636,"[477.7442626953125, 113.23274230957031, 515.79345703125, 240.49659729003906]"
2025-08-24 01:11:35,person,0.7362348437309265,"[540.9402465820312, 102.63873291015625, 571.8617553710938, 240.11483764648438]"
2025-08-24 01:11:35,person,0.5990926027297974,"[565.2940063476562, 114.81973266601562, 596.5101928710938, 219.47808837890625]"
2025-08-24 01:11:35,person,0.4922739267349243,"[0.17467689514160156, 196.48483276367188, 44.136878967285156, 315.7741394042969]"
2025-08-24 01:11:35,handbag,0.4174378514289856,"[33.26150894165039, 264.8115234375, 105.32467651367188, 325.2628173828125]"
2025-08-24 01:11:35,person,0.256087064743042,"[360.91094970703125, 160.13882446289062, 380.05999755859375, 215.28289794921875]"
2025-08-24 01:11:35,person,0.7761752605438232,"[477.4950256347656, 113.23387145996094, 515.7964477539062, 240.8286895751953]"
2025-08-24 01:11:35,person,0.7494853138923645,"[541.174560546875, 102.37838745117188, 570.9776611328125, 241.48092651367188]"
2025-08-24 01:11:35,person,0.5379400253295898,"[565.1849365234375, 115.36245727539062, 596.3121337890625, 218.83740234375]"
2025-08-24 01:11:35,person,0.4995097219944,"[0.2034893035888672, 197.08990478515625, 43.95796203613281, 315.86639404296875]"
2025-08-24 01:11:35,handbag,0.4115116596221924,"[33.40739822387695, 265.125, 105.33903503417969, 325.29974365234375]"
2025-08-24 01:11:35,person,0.7844545245170593,"[541.3029174804688, 102.16825103759766, 570.8281860351562, 241.61441040039062]"
2025-08-24 01:11:35,person,0.7730257511138916,"[477.2691955566406, 113.21022033691406, 515.6427001953125, 240.87998962402344]"
2025-08-24 01:11:35,person,0.653018057346344,"[565.6859130859375, 115.33739471435547, 597.058837890625, 220.663818359375]"
2025-08-24 01:11:35,person,0.4939367473125458,"[0.2048511505126953, 197.10693359375, 43.74224090576172, 315.91827392578125]"
2025-08-24 01:11:35,handbag,0.40921199321746826,"[33.67036437988281, 265.91363525390625, 105.30723571777344, 325.3358154296875]"
2025-08-24 01:11:35,person,0.7899962067604065,"[541.3193359375, 102.3924789428711, 570.33984375, 241.13211059570312]"
2025-08-24 01:11:35,person,0.7629858255386353,"[477.3512268066406, 113.25672149658203, 515.4833374023438, 240.853759765625]"
2025-08-24 01:11:35,person,0.6032096147537231,"[565.8248901367188, 116.20535278320312, 596.7330932617188, 221.09170532226562]"
2025-08-24 01:11:35,person,0.4955091178417206,"[0.22673797607421875, 197.97317504882812, 43.779579162597656, 316.0859069824219]"
2025-08-24 01:11:35,handbag,0.3967355787754059,"[33.88430404663086, 267.7218017578125, 105.26870727539062, 325.37646484375]"
2025-08-24 01:11:35,person,0.7834933996200562,"[541.3419189453125, 102.78880310058594, 570.2120361328125, 240.9600067138672]"
2025-08-24 01:11:35,person,0.7604666948318481,"[477.3664855957031, 113.35975646972656, 515.3964233398438, 240.8070831298828]"
2025-08-24 01:11:35,person,0.6772621273994446,"[569.8048095703125, 117.61747741699219, 599.389404296875, 222.7469024658203]"
2025-08-24 01:11:35,person,0.4768306314945221,"[0.23228836059570312, 198.28636169433594, 43.76201248168945, 315.7137145996094]"
2025-08-24 01:11:35,handbag,0.3859825134277344,"[33.79403305053711, 268.4407653808594, 105.28668212890625, 325.4015197753906]"
2025-08-24 01:11:35,person,0.775034487247467,"[541.2411499023438, 102.58199310302734, 569.6382446289062, 240.71060180664062]"
2025-08-24 01:11:35,person,0.7571811079978943,"[477.4912414550781, 113.35916137695312, 515.3508911132812, 240.750244140625]"
2025-08-24 01:11:35,person,0.7121172547340393,"[571.2901000976562, 116.37718200683594, 599.3904418945312, 222.27235412597656]"
2025-08-24 01:11:35,person,0.47421541810035706,"[0.23963165283203125, 198.40139770507812, 43.88304901123047, 315.6495056152344]"
2025-08-24 01:11:35,handbag,0.38460874557495117,"[33.751182556152344, 268.35064697265625, 105.28754425048828, 325.3699951171875]"
2025-08-24 01:11:35,person,0.7613467574119568,"[477.614013671875, 113.38176727294922, 515.4049682617188, 240.60162353515625]"
2025-08-24 01:11:35,person,0.7451268434524536,"[541.1204223632812, 102.29203796386719, 570.6205444335938, 240.15675354003906]"
2025-08-24 01:11:35,person,0.5911768078804016,"[570.1614379882812, 116.68939208984375, 599.1693725585938, 222.43496704101562]"
2025-08-24 01:11:35,person,0.4695042073726654,"[0.241058349609375, 198.4896240234375, 44.009368896484375, 315.5955810546875]"
2025-08-24 01:11:35,handbag,0.3818209767341614,"[33.769615173339844, 268.3941345214844, 105.30071258544922, 325.3764953613281]"
2025-08-24 01:11:35,person,0.7524569034576416,"[477.6972351074219, 113.56562805175781, 515.3546752929688, 240.4608612060547]"
2025-08-24 01:11:35,person,0.747495174407959,"[541.1724853515625, 101.90540313720703, 570.8804931640625, 240.26577758789062]"
2025-08-24 01:11:35,person,0.5653604865074158,"[571.0867309570312, 118.44486999511719, 598.4027709960938, 220.9035186767578]"
2025-08-24 01:11:35,person,0.4566464126110077,"[0.24124526977539062, 198.41416931152344, 44.65925216674805, 315.5713806152344]"
2025-08-24 01:11:35,handbag,0.38489773869514465,"[33.82398223876953, 267.9075622558594, 105.28955841064453, 325.3739318847656]"
2025-08-24 01:11:35,person,0.7560530304908752,"[541.1170043945312, 101.88070678710938, 570.3007202148438, 240.0665283203125]"
2025-08-24 01:11:35,person,0.7522134184837341,"[477.4371337890625, 113.44833374023438, 515.4158325195312, 240.57308959960938]"
2025-08-24 01:11:35,person,0.5695489048957825,"[571.2887573242188, 119.26567077636719, 597.8469848632812, 221.1546173095703]"
2025-08-24 01:11:35,person,0.45405736565589905,"[0.2598419189453125, 198.48529052734375, 44.76896667480469, 315.83978271484375]"
2025-08-24 01:11:35,handbag,0.38304153084754944,"[33.91606903076172, 267.3384094238281, 105.38520050048828, 325.3755187988281]"
2025-08-24 01:11:35,backpack,0.27555590867996216,"[482.0439147949219, 130.15989685058594, 506.1971740722656, 170.0378875732422]"
2025-08-24 01:11:35,person,0.7622424364089966,"[541.0858764648438, 101.7958984375, 569.9722290039062, 240.84097290039062]"
2025-08-24 01:11:35,person,0.7537108063697815,"[477.36859130859375, 113.35667419433594, 515.4855346679688, 240.74366760253906]"
2025-08-24 01:11:35,person,0.5778723955154419,"[571.0437622070312, 119.77006530761719, 597.7987670898438, 221.52967834472656]"
2025-08-24 01:11:35,person,0.4574161767959595,"[0.23694992065429688, 198.40524291992188, 44.77944564819336, 315.7043762207031]"
2025-08-24 01:11:35,handbag,0.3951173424720764,"[33.8227424621582, 268.3288879394531, 105.33430480957031, 325.4289245605469]"
2025-08-24 01:11:35,backpack,0.28730639815330505,"[481.83477783203125, 129.88499450683594, 506.27618408203125, 170.3258819580078]"
2025-08-24 01:11:35,person,0.7672507166862488,"[541.2631225585938, 101.92179870605469, 570.0548706054688, 241.40928649902344]"
2025-08-24 01:11:35,person,0.7595070600509644,"[477.49517822265625, 113.35635375976562, 515.3780517578125, 240.807373046875]"
2025-08-24 01:11:35,person,0.5170709490776062,"[573.5259399414062, 122.22897338867188, 597.8211059570312, 219.94247436523438]"
2025-08-24 01:11:35,person,0.456585168838501,"[0.23802947998046875, 198.3065185546875, 44.828147888183594, 315.61328125]"
2025-08-24 01:11:35,handbag,0.38244810700416565,"[33.8879280090332, 266.5533447265625, 105.30587768554688, 325.36480712890625]"
2025-08-24 01:11:35,backpack,0.27396175265312195,"[481.79632568359375, 130.63551330566406, 506.192138671875, 170.3774871826172]"
2025-08-24 01:11:36,person,0.7822636961936951,"[541.4390869140625, 102.09567260742188, 570.2532958984375, 242.23556518554688]"
2025-08-24 01:11:36,person,0.7568796873092651,"[477.5709228515625, 113.4147720336914, 515.1689453125, 240.78485107421875]"
2025-08-24 01:11:36,person,0.6058294773101807,"[574.2787475585938, 123.61293029785156, 598.1068725585938, 219.47023010253906]"
